vendor_id,category,rating,review_count,booking_count,starting_price,max_price,avg_package_price,gallery_size,vendor_age_days,user_budget,recommended_score
vendor_33,Making & Grooming,5,30,98,20562,66677,26457,0,313,59790,3.7825
vendor_41,Making & Grooming,4.53,92,96,23067,63996,32074,4,547,67202,3.7529
vendor_21,Making & Grooming,5,60,134,22327,59420,53543,0,1169,20190,3.8477
vendor_50,Venue,4.48,58,83,149711,330313,176352,2,715,166631,3.5379
vendor_42,Decorations,4.69,33,99,47806,100538,58535,8,275,94748,3.6746
vendor_8,Decorations,4.61,57,110,45986,113592,56633,3,714,42368,3.6387
vendor_22,Photography,4.94,86,50,66002,118403,98099,2,604,110300,3.7501
vendor_44,Decorations,4.38,97,68,47509,115024,100515,7,1106,43051,3.5391
vendor_50,Making & Grooming,5,55,144,24869,56876,50436,7,685,48940,3.9579
vendor_23,Photography,4.73,92,109,73417,123077,99675,9,1399,92217,3.8261
vendor_40,Venue,4.22,34,68,131931,319739,248283,5,589,150056,3.3206
vendor_16,Making & Grooming,4.89,22,137,24992,59343,38492,6,1129,73401,3.7871
vendor_39,Food & beverage,4.64,90,145,57253,159128,150721,9,461,171172,3.9065
vendor_1,Photography,4.82,10,98,73600,142220,100246,9,471,69823,3.4922
vendor_33,Making & Grooming,5,12,98,24611,75223,63257,1,409,46144,3.6288
vendor_12,Making & Grooming,4.91,74,76,22738,78116,60893,10,314,63404,3.872
vendor_41,Decorations,4.55,26,62,48945,118850,76295,9,1051,105953,3.4953
vendor_36,Photography,5,36,90,60825,129052,99338,8,1330,149084,3.8226
vendor_32,Decorations,4.15,103,37,45988,102888,81723,7,692,47357,3.3324
vendor_48,Making & Grooming,5,105,108,23851,59440,44001,0,91,61555,3.9797
vendor_5,Venue,4.38,52,75,147749,311233,187703,2,1420,269407,3.5109
vendor_42,Food & beverage,4.99,23,107,54491,163576,151694,8,1092,134076,3.7875
vendor_44,Decorations,4.52,18,108,46541,93348,70255,11,1062,63625,3.5104
vendor_2,Venue,3.94,9,66,141516,289260,143058,1,824,149065,2.972
vendor_25,Making & Grooming,5,86,88,23236,77925,50198,3,540,60262,3.9248
vendor_3,Making & Grooming,4.29,90,134,21155,59141,44958,2,68,35485,3.6591
vendor_13,Making & Grooming,5,72,96,24748,77233,34183,8,1054,59298,3.9359
vendor_45,Photography,4.91,117,50,72477,105504,100493,5,87,96395,3.7756
vendor_20,Making & Grooming,4.86,101,80,21852,60910,42411,3,1280,50354,3.8578
vendor_23,Venue,4.12,1,46,145761,316725,163401,4,1312,280159,2.822
vendor_8,Venue,4.85,8,51,137114,323858,236771,9,1401,191529,3.3888
vendor_46,Decorations,4.12,84,92,47483,115921,80790,11,781,67532,3.5273
vendor_50,Food & beverage,4.89,66,131,53324,185445,109502,9,853,108141,3.9268
vendor_49,Food & beverage,4.77,63,41,55124,141015,116937,8,856,122474,3.6421
vendor_17,Making & Grooming,4.4,112,59,24000,74017,34344,6,547,32763,3.5787
vendor_21,Making & Grooming,5,37,90,21668,61989,36774,9,112,33456,3.7957
vendor_34,Venue,4.08,65,56,135997,279815,181103,0,517,238319,3.3383
vendor_1,Photography,4.03,3,70,74430,112239,88919,10,1359,97131,2.9592
vendor_21,Photography,4.64,47,70,68580,129285,106206,6,1260,61252,3.5534
vendor_34,Decorations,4.61,82,88,44530,99781,57581,10,464,101886,3.7711
vendor_10,Photography,5,51,31,72536,136703,114854,0,162,99811,3.5768
vendor_43,Venue,4.4,53,78,151833,264962,206956,1,234,234573,3.5084
vendor_4,Food & beverage,4.16,80,151,62015,185002,178609,10,1427,74071,3.6087
vendor_28,Photography,4.65,51,97,69911,146240,103345,2,1058,147505,3.6927
vendor_49,Decorations,5,12,163,43900,107061,57616,9,1099,91745,3.7779
vendor_17,Decorations,5,56,73,47240,107321,57728,10,860,92796,3.8409
vendor_14,Decorations,4.8,14,82,41276,106195,101386,9,57,113686,3.5905
vendor_47,Decorations,4.81,111,45,40364,88621,55398,6,779,95658,3.756
vendor_17,Photography,4.7,101,48,68172,145441,102846,11,743,61062,3.6409
vendor_36,Decorations,4.51,10,6,40125,88632,79181,2,262,66734,2.8493
vendor_34,Decorations,4.1,101,117,47943,96199,63671,5,721,94553,3.591
vendor_6,Food & beverage,4.82,53,73,60167,150554,77427,5,306,166421,3.7508
vendor_49,Photography,4.94,75,111,71613,115589,85531,3,675,60117,3.8329
vendor_4,Food & beverage,4.26,45,171,55560,193441,56406,11,355,92101,3.6369
vendor_36,Food & beverage,4.59,90,69,58915,189376,104502,5,168,82254,3.6573
vendor_13,Making & Grooming,4.61,5,5,22026,70594,42154,6,201,59809,2.8277
vendor_49,Decorations,4.88,75,107,41619,92512,42961,7,1472,82078,3.8894
vendor_35,Making & Grooming,4.89,9,58,24027,56235,34188,1,617,28162,3.3897
vendor_5,Venue,4.43,60,104,135415,281158,179340,2,754,145524,3.5627
vendor_38,Food & beverage,4.91,18,20,57546,140077,78157,7,1348,89711,3.3466
vendor_40,Venue,3.83,111,114,151526,347973,301172,6,850,297527,3.486
vendor_29,Food & beverage,4.74,72,99,61302,141970,102459,9,1068,170430,3.8392
vendor_4,Venue,4.51,27,115,156611,270052,166057,6,318,233677,3.5582
vendor_2,Decorations,4.92,5,64,44612,107710,74098,3,873,43756,3.3334
vendor_10,Food & beverage,5,27,98,50094,175442,89760,4,40,176205,3.7962
vendor_12,Decorations,4.65,89,172,48554,86443,59011,0,857,67306,3.8377
vendor_29,Photography,5,31,103,64451,120343,110854,9,1043,146066,3.8276
vendor_1,Venue,4.22,90,63,133797,292881,278587,3,1235,247718,3.4903
vendor_41,Food & beverage,4.66,52,65,55031,142708,66725,8,146,147945,3.6649
vendor_43,Food & beverage,4.64,82,101,58766,189688,158695,10,447,86368,3.7749
vendor_50,Food & beverage,4.96,107,55,54971,153490,122497,5,695,191467,3.8712
vendor_1,Making & Grooming,4.6,61,74,23120,73350,28064,7,590,40806,3.6527
vendor_30,Making & Grooming,4.66,30,119,20989,58482,45431,0,458,62460,3.6684
vendor_30,Food & beverage,4.76,118,143,52065,173536,116142,11,1166,76737,3.9555
vendor_23,Food & beverage,4.35,110,52,54926,195168,107413,1,1433,176944,3.5656
vendor_8,Photography,5,67,5,70015,124846,85723,7,472,123230,3.3411
vendor_14,Venue,4.34,8,114,149694,313835,221952,1,125,217127,3.2813
vendor_7,Food & beverage,4.43,95,101,62175,193699,116946,6,973,97057,3.6869
vendor_20,Decorations,4.68,82,110,48966,100032,51164,1,844,63236,3.7507
vendor_30,Food & beverage,4.62,20,76,54841,155358,154554,4,834,182351,3.5283
vendor_23,Venue,4.21,30,89,161969,307515,300124,7,88,220093,3.3847
vendor_22,Venue,4.38,109,20,158529,280953,186385,8,1412,153752,3.3236
vendor_18,Food & beverage,4.38,87,83,52541,191203,108502,4,104,106133,3.6236
vendor_42,Making & Grooming,4.76,102,56,22089,61475,53742,9,617,21622,3.6921
vendor_10,Making & Grooming,4.86,12,114,22074,63992,37720,8,850,28646,3.5969
vendor_36,Making & Grooming,4.7,2,130,23472,58969,47499,11,1416,39250,3.368
vendor_22,Food & beverage,4.76,104,95,54124,197492,143723,2,1363,54853,3.7639
vendor_45,Making & Grooming,4.95,107,26,21785,63715,30727,0,987,44058,3.6657
vendor_42,Food & beverage,4.38,1,33,50481,187304,183077,8,90,133559,2.9149
vendor_17,Venue,4.22,59,56,143350,269353,188536,10,846,296844,3.4507
vendor_8,Decorations,4.77,81,125,43640,112470,100774,6,403,98053,3.8893
vendor_17,Venue,4.23,26,84,152993,307551,230447,9,1069,200342,3.3665
vendor_50,Decorations,4.42,7,67,47124,103541,76045,8,912,113543,3.2711
vendor_14,Food & beverage,4.71,18,81,51500,146737,87562,10,644,137312,3.5849
vendor_44,Food & beverage,4.76,40,63,52667,170907,109799,9,212,73510,3.6163
vendor_2,Venue,4.56,16,28,141779,299619,288168,9,1161,341837,3.2823
vendor_29,Food & beverage,4.59,96,38,53241,140545,82671,2,1092,157309,3.5939
vendor_1,Venue,3.9,10,99,159148,318971,172132,8,1412,273748,3.1379
vendor_15,Venue,4.05,62,43,132050,278932,157001,4,461,296472,3.3033
vendor_46,Venue,4.14,70,108,154440,334430,197441,6,1493,317710,3.5468
vendor_45,Food & beverage,4.68,72,81,51868,154561,100148,3,1363,91844,3.7093
vendor_49,Decorations,4.73,87,121,47274,101320,74650,0,1152,102483,3.8412
vendor_38,Making & Grooming,5,88,116,21914,63657,40764,2,189,27906,3.9175
vendor_28,Making & Grooming,4.59,105,85,20892,66222,58335,7,1376,63642,3.7916
vendor_34,Making & Grooming,4.87,40,91,21218,61016,44483,8,1314,78762,3.8031
vendor_13,Photography,4.84,18,83,60974,109133,75637,5,66,69903,3.5505
vendor_40,Photography,5,67,81,64036,126452,109684,7,1093,90561,3.8432
vendor_43,Food & beverage,4.85,97,118,60188,174080,146419,10,845,155228,3.9669
vendor_31,Making & Grooming,4.57,5,100,21716,69481,42386,10,586,29017,3.3351
vendor_13,Decorations,4.66,82,74,47561,86719,70451,3,1311,88845,3.7069
vendor_34,Making & Grooming,5,113,27,21547,56294,31724,8,46,51966,3.7547
vendor_32,Photography,4.82,30,87,64543,136575,128395,6,615,147272,3.6952
vendor_10,Decorations,4.49,91,86,41435,117339,68095,0,553,103888,3.6814
vendor_33,Venue,4.16,76,93,154597,265952,231516,6,58,253786,3.521
vendor_41,Food & beverage,4.27,29,65,60698,169241,156912,3,1152,187612,3.3882
vendor_44,Making & Grooming,4.92,84,100,22204,73482,45615,5,878,64413,3.9249
vendor_34,Photography,4.81,1,134,60988,144214,142859,9,963,79982,3.332
vendor_25,Making & Grooming,4.93,108,140,21855,75440,63607,10,1113,59341,4.0547
vendor_44,Venue,4.44,116,95,133676,313915,273459,6,416,322860,3.7442
vendor_44,Making & Grooming,4.76,94,33,23899,76857,75997,6,1326,48541,3.6363
vendor_2,Photography,4.76,86,63,61763,113712,100328,5,530,109268,3.7323
vendor_38,Food & beverage,4.59,95,5,53788,176935,80377,5,40,114288,3.2115
vendor_20,Venue,4.23,46,65,160087,294929,229385,5,1139,226347,3.3897
vendor_26,Venue,4.56,30,83,138905,319662,161336,0,618,242755,3.5155
vendor_40,Decorations,4.83,106,99,47014,116857,97875,6,457,102768,3.9068
vendor_50,Food & beverage,4.71,114,57,58508,178850,108294,11,1317,152215,3.7929
vendor_6,Photography,4.82,75,164,63389,130683,77018,3,237,126435,3.9279
vendor_23,Decorations,4.7,106,156,40021,92601,73683,10,1007,112715,3.9741
vendor_29,Photography,4.51,110,116,71148,106560,84760,3,714,143847,3.7794
vendor_41,Making & Grooming,5,22,95,24790,72690,49153,4,1405,77655,3.7553
vendor_31,Food & beverage,4.57,63,87,61163,154025,70109,0,932,162340,3.6713
vendor_41,Decorations,4.95,20,106,40956,118839,115087,11,181,44703,3.6846
vendor_12,Photography,5,34,78,69465,136860,101050,3,324,72201,3.6779
vendor_2,Food & beverage,4.8,112,56,50529,159342,107585,6,1351,138397,3.8031
vendor_20,Making & Grooming,4.75,14,50,24005,60648,59138,7,260,67064,3.4614
vendor_3,Decorations,4.28,40,120,43814,119984,105086,11,330,92233,3.5743
vendor_28,Decorations,4.56,8,39,45724,95083,91641,10,1001,111635,3.2575
vendor_15,Venue,4.6,44,76,133178,300203,148741,7,185,213310,3.6027
vendor_49,Photography,4.59,101,102,61274,139707,81611,4,1112,89856,3.7542
vendor_50,Food & beverage,4.93,95,92,51229,165611,92464,7,524,56570,3.8584
vendor_32,Photography,4.67,119,102,73605,117115,112667,7,1394,83196,3.7968
vendor_8,Making & Grooming,4.84,114,92,21518,68373,59524,1,1198,44089,3.877
vendor_41,Venue,4.35,31,106,159259,295137,213320,4,1357,339988,3.5095
vendor_9,Decorations,4.2,33,112,48125,88033,85998,8,1142,112460,3.4887
vendor_18,Making & Grooming,5,4,104,23230,56488,49153,5,48,56321,3.5353
vendor_1,Making & Grooming,4.72,54,113,21000,71638,46426,6,754,23726,3.7196
vendor_38,Photography,5,33,5,72281,142574,81389,0,765,82443,3.1558
vendor_29,Decorations,4.04,26,56,47010,95207,72547,7,845,71348,3.2061
vendor_48,Decorations,4.96,44,16,44760,116779,66396,3,812,113770,3.4762
vendor_36,Decorations,4.83,117,74,46570,108596,79744,11,428,96088,3.8845
vendor_46,Food & beverage,4.65,34,99,54146,184814,99525,3,1037,107716,3.6377
vendor_11,Food & beverage,4.22,36,93,59884,146894,73351,1,31,136365,3.4393
vendor_20,Photography,5,61,56,73350,112052,77004,9,981,84611,3.7426
vendor_22,Photography,4.76,106,82,72149,139566,131338,10,170,140758,3.8477
vendor_49,Making & Grooming,4.54,42,96,21243,75481,58627,7,181,73967,3.6619
vendor_49,Decorations,4.43,36,89,41316,91227,73226,9,1022,104174,3.5713
vendor_32,Food & beverage,4.65,48,75,53179,157633,148059,4,448,90390,3.6258
vendor_7,Food & beverage,4.56,25,85,58841,149160,86054,1,1373,162418,3.5337
vendor_32,Making & Grooming,5,68,61,23729,79164,55639,9,1155,30793,3.79
vendor_13,Making & Grooming,4.65,70,44,24131,69031,31974,8,1028,69859,3.6335
vendor_3,Venue,4.35,8,58,161547,314248,172303,5,96,175113,3.1388
vendor_5,Decorations,4.53,8,140,45291,103201,98317,5,1495,100963,3.4677
vendor_17,Making & Grooming,4.72,30,38,22334,59374,47926,8,84,23083,3.4159
vendor_1,Photography,4.63,5,68,63719,144891,74473,3,1301,101323,3.2684
vendor_12,Venue,4.11,103,87,146669,343451,291136,0,1042,206559,3.4863
vendor_9,Photography,4.73,105,38,62785,121163,116513,4,799,90682,3.6266
vendor_43,Venue,4.84,55,40,152346,283066,195031,5,1472,220517,3.5954
vendor_16,Photography,5,30,103,68435,141875,80764,7,163,112290,3.7876
vendor_10,Photography,4.6,2,67,67693,113264,80379,2,1259,115249,3.1519
vendor_3,Venue,4.53,65,24,156561,319519,220870,5,267,275788,3.3997
vendor_15,Food & beverage,4.5,21,92,51960,163429,102160,1,993,197992,3.5109
vendor_6,Photography,4.96,31,46,67340,128563,75307,3,1018,115099,3.5993
vendor_2,Making & Grooming,4.47,5,25,24138,76733,62085,2,807,59256,3.0316
vendor_7,Food & beverage,4.55,9,19,50689,186332,170552,2,178,78141,3.0549
vendor_37,Photography,4.52,52,111,68800,137003,115651,3,153,117009,3.6484
vendor_22,Photography,4.77,92,39,67870,110693,101405,5,484,69956,3.5951
vendor_1,Making & Grooming,5,21,66,24605,60481,48887,9,1476,45476,3.6684
vendor_26,Making & Grooming,4.55,60,78,22009,70828,38061,10,732,42420,3.6609
vendor_42,Photography,4.32,52,64,68737,142487,102098,5,583,115316,3.462
vendor_29,Making & Grooming,4.63,1,116,22672,76584,53583,1,601,23631,3.1522
vendor_22,Venue,4.5,28,55,153561,335352,304914,10,788,289674,3.4567
vendor_37,Venue,4.55,69,75,146462,318615,153561,11,478,283686,3.6797
vendor_40,Making & Grooming,4.77,17,83,23271,59456,31059,4,177,42804,3.5543
vendor_5,Decorations,4.77,28,120,40365,93866,44896,2,471,69956,3.6842
vendor_2,Decorations,4.84,8,81,49765,112270,63044,7,950,75144,3.4733
vendor_50,Decorations,4.55,89,75,49154,95824,81279,9,148,46910,3.6323
vendor_32,Decorations,4.35,13,77,42196,104131,67423,4,189,109519,3.3357
vendor_14,Photography,4.96,73,48,73537,121905,119375,8,517,98714,3.7331
vendor_21,Photography,4.98,44,74,67128,116889,94541,2,715,144080,3.7651
vendor_7,Food & beverage,4.78,21,21,59759,194493,136031,4,331,105533,3.3159
vendor_21,Photography,4.69,92,111,69951,133927,127892,1,799,124028,3.8058
vendor_19,Photography,5,43,105,68474,149638,114960,4,1406,68706,3.7708
vendor_5,Making & Grooming,4.77,16,37,21304,79679,57372,7,158,75147,3.4394
vendor_21,Food & beverage,4.76,98,73,50448,178787,164215,10,502,184153,3.8516
vendor_12,Food & beverage,4.87,36,5,59114,151329,90770,5,263,69033,3.1388
vendor_19,Venue,4.49,16,119,160669,258943,180542,2,1044,315413,3.4881
vendor_38,Making & Grooming,5,118,101,20697,58179,30293,2,1207,21828,3.9096
vendor_7,Making & Grooming,4.42,57,124,24917,58023,39454,3,302,47766,3.6498
vendor_24,Photography,4.93,55,55,63292,134197,132414,3,929,96727,3.6949
vendor_12,Decorations,4.87,83,30,40593,98226,69324,5,693,82092,3.6449
vendor_49,Decorations,4.62,45,125,45093,97428,89027,3,1403,68854,3.6875
vendor_4,Venue,4.49,118,110,131169,344133,263892,0,430,306325,3.7665
vendor_45,Photography,4.98,10,31,74063,123394,108564,1,1002,66397,3.297
vendor_5,Venue,4.15,64,34,154570,328819,177854,4,78,286351,3.2956
vendor_6,Photography,4.89,1,142,69817,124715,99126,7,1366,103619,3.3824
vendor_21,Venue,4.23,84,45,143493,262068,255936,7,1014,175603,3.3987
vendor_16,Photography,4.68,92,51,64713,132037,74270,7,935,92591,3.6565
vendor_43,Decorations,4.59,56,53,47896,116972,97629,10,625,80785,3.5829
vendor_11,Venue,3.86,15,44,145892,292298,162965,1,701,268999,2.9875
vendor_3,Photography,4.51,57,61,65591,116918,107494,4,343,88228,3.5222
vendor_50,Decorations,4.72,12,78,48100,115703,75028,8,474,46304,3.4211
vendor_28,Making & Grooming,4.85,81,120,20894,79017,36246,7,602,27521,3.8738
vendor_48,Decorations,4.58,65,50,42090,105008,43723,9,882,54357,3.5544
vendor_10,Venue,4.71,76,70,133137,310632,229248,7,1347,160651,3.6835
vendor_4,Food & beverage,4.17,21,78,51727,199634,151885,3,1207,113870,3.3094
vendor_41,Photography,4.99,116,50,74549,110774,81068,11,811,116700,3.8551
vendor_6,Decorations,4.82,97,77,43867,113118,66130,9,1041,58658,3.8113
vendor_10,Photography,5,51,60,70006,128128,121584,10,533,131947,3.7853
vendor_20,Photography,5,47,98,60475,126800,118303,7,1263,66971,3.7993
vendor_43,Photography,4.82,8,65,74721,124206,112432,4,957,77071,3.3594
vendor_21,Making & Grooming,4.89,119,61,22307,63133,33512,0,604,51852,3.8273
vendor_20,Making & Grooming,4.9,3,52,21283,56923,22408,0,225,56632,3.2995
vendor_19,Decorations,4.68,116,69,47833,107172,80827,5,1487,40645,3.6971
vendor_12,Photography,4.57,88,117,67544,135090,119686,1,1011,69346,3.6919
vendor_34,Photography,5,62,99,70013,146945,139628,0,1010,119042,3.8543
vendor_44,Venue,4.49,48,123,136450,258229,165459,5,302,202516,3.6427
vendor_28,Food & beverage,4.47,16,91,61101,180718,93703,1,1119,191559,3.4498
vendor_35,Venue,4.52,47,66,135779,273794,157226,5,172,232932,3.5418
vendor_13,Venue,4.39,17,87,158276,295099,268145,6,422,180939,3.3514
vendor_35,Decorations,4.21,14,30,41138,105125,48556,3,530,114567,3.0985
vendor_22,Food & beverage,4.61,40,79,55661,146142,67770,7,299,84518,3.5922
vendor_19,Venue,4.48,84,101,150562,260281,235428,6,1116,309272,3.7165
vendor_25,Photography,4.84,64,67,64493,139228,116368,0,1429,124307,3.7221
vendor_46,Food & beverage,4.86,68,133,51762,151240,149996,11,543,131768,3.9495
vendor_46,Venue,4.48,30,57,160327,315909,183894,11,1088,196314,3.4273
vendor_34,Decorations,4.37,73,88,41492,114462,91304,8,1377,49168,3.5724
vendor_22,Venue,4.02,19,76,143319,334387,175493,9,849,218668,3.2238
vendor_45,Making & Grooming,4.82,28,23,21573,76124,34039,3,1459,50795,3.4105
vendor_22,Food & beverage,4.65,105,18,61093,186571,61286,0,1140,90197,3.4284
vendor_1,Venue,4.15,8,78,158369,271511,165085,2,1433,290105,3.1478
vendor_38,Venue,4.41,109,36,140332,287603,235406,3,682,216716,3.481
vendor_41,Venue,4.57,49,59,147709,303556,165252,9,1416,195333,3.5442
vendor_39,Venue,4.33,59,126,135463,315447,140111,6,212,198648,3.6106
vendor_8,Making & Grooming,4.7,1,57,21517,72018,42903,7,48,64363,3.166
vendor_8,Making & Grooming,5,103,61,21132,67531,27720,11,1303,35812,3.8886
vendor_18,Venue,4.21,68,100,143146,324189,310038,0,668,154995,3.4622
vendor_41,Making & Grooming,4.77,115,82,21774,66651,55477,8,988,56636,3.8744
vendor_3,Decorations,4.61,51,169,42497,118610,52555,5,742,86619,3.7975
vendor_12,Photography,4.91,40,53,70693,116777,105089,1,1134,88669,3.6018
vendor_25,Food & beverage,4.56,85,83,52282,174624,100720,0,1180,169006,3.7112
vendor_38,Venue,4.14,99,142,137461,345122,147977,6,102,297860,3.6564
vendor_48,Decorations,4.37,44,5,43259,112011,86108,8,1116,55434,2.9678
vendor_37,Decorations,4.95,28,188,41141,102019,61525,4,36,108803,3.8939
vendor_49,Venue,4.63,43,128,157840,329525,275801,10,155,308570,3.7453
vendor_4,Venue,4.61,56,83,148213,253766,171065,11,862,278510,3.6903
vendor_43,Venue,4.3,75,63,148284,287416,286425,3,1208,137597,3.432
vendor_37,Food & beverage,4.49,117,64,59449,151826,85866,9,514,183241,3.7175
vendor_47,Decorations,4.66,73,111,48315,92036,80093,0,826,101516,3.7649
vendor_23,Photography,4.6,49,85,61936,141575,104197,1,394,146836,3.6401
vendor_1,Food & beverage,4.38,44,49,59569,190591,185629,10,388,169619,3.4738
vendor_17,Photography,5,11,47,74270,130879,90266,3,464,99420,3.4499
vendor_5,Food & beverage,5,37,119,53835,197169,128800,6,549,182379,3.8889
vendor_21,Venue,4.36,98,44,132660,337020,251078,10,1193,206021,3.518
vendor_26,Food & beverage,4.53,46,110,59702,156859,67386,9,912,175074,3.7034
vendor_50,Photography,5,15,54,65867,134535,124821,10,744,72991,3.532
vendor_48,Venue,3.75,47,20,160386,300219,273999,3,932,314482,2.9656
vendor_5,Venue,3.95,72,113,131863,327034,139879,2,1376,198026,3.4302
vendor_10,Making & Grooming,5,22,107,20942,74108,47852,5,712,56674,3.7763
vendor_19,Decorations,4.9,30,49,40276,101611,79381,8,1356,67810,3.605
vendor_8,Decorations,4.57,37,67,42841,95590,53727,0,940,82727,3.5179
vendor_46,Making & Grooming,4.89,63,103,22235,63295,33625,7,1318,41281,3.8562
vendor_19,Photography,5,14,15,68605,139782,69986,11,1343,127628,3.3351
vendor_26,Food & beverage,4.7,106,51,58549,162031,129270,11,1411,161041,3.7568
vendor_39,Making & Grooming,4.6,55,63,22158,58555,25109,10,762,43782,3.6309
vendor_22,Venue,4.31,53,89,161632,260591,183805,2,1366,254184,3.5047
vendor_50,Venue,4.85,72,34,146566,252189,235173,5,689,130159,3.5607
vendor_23,Decorations,4.33,30,44,46555,100237,88526,3,1258,96378,3.317
vendor_49,Decorations,4.43,98,65,49227,112278,88041,10,902,119563,3.6573
vendor_24,Venue,4.48,86,112,151470,303607,240551,5,238,157990,3.6611
vendor_44,Decorations,4.44,65,69,46056,119205,101159,10,166,45793,3.5241
vendor_23,Photography,5,112,75,74947,121209,100341,7,720,92441,3.8886
vendor_30,Decorations,4.73,13,51,41948,110586,86708,4,958,94040,3.4179
vendor_35,Venue,4.3,103,46,142820,261210,248246,11,1053,348664,3.5449
vendor_9,Decorations,4.53,101,91,47935,89355,57018,3,60,69320,3.6972
vendor_36,Food & beverage,4.86,109,106,53893,174773,105061,1,805,172118,3.9356
vendor_35,Decorations,4.37,100,102,47170,103604,64093,4,1305,73002,3.661
vendor_37,Making & Grooming,4.36,53,84,22096,60213,32389,9,587,48172,3.5769
vendor_29,Decorations,4.39,12,121,48016,115881,72488,5,913,64087,3.3815
vendor_12,Food & beverage,4.4,28,119,58931,141401,74124,0,133,52745,3.4448
vendor_7,Food & beverage,4.64,6,86,61956,145818,113330,6,694,90992,3.3512
vendor_8,Photography,4.94,111,81,72088,125093,78243,2,486,64426,3.8227
vendor_29,Venue,3.73,4,47,157606,292831,185757,7,224,236984,2.7801
vendor_5,Decorations,4.56,90,138,45345,115131,97773,3,1157,64968,3.774
vendor_45,Photography,4.73,106,59,72721,121616,115233,8,55,106473,3.7379
vendor_38,Food & beverage,4.93,95,82,56410,181420,174862,11,520,82430,3.8874
vendor_41,Photography,4.82,113,85,69784,123990,94518,1,34,65939,3.7753
vendor_22,Food & beverage,4.81,46,74,52295,194837,99413,4,1443,94605,3.6944
vendor_48,Decorations,4.55,44,36,41932,85757,72654,10,649,64272,3.4427
vendor_26,Food & beverage,5,41,41,60572,187153,168614,3,1305,81279,3.6114
vendor_26,Venue,4.81,55,32,135451,332177,307839,5,915,254881,3.5611
vendor_13,Photography,4.91,66,100,60619,138650,85991,1,1300,68711,3.7844
vendor_20,Decorations,4.34,43,53,48199,94717,84390,6,622,85242,3.4116
vendor_24,Decorations,4.46,28,124,45973,111691,68574,9,1308,64532,3.5671
vendor_10,Decorations,4.48,101,89,44967,102753,64989,10,918,106732,3.7476
vendor_26,Photography,4.56,117,23,67432,145695,87134,2,1412,80058,3.4387
vendor_1,Venue,4.61,82,12,150753,290739,257364,3,990,312385,3.3435
vendor_34,Decorations,4.72,5,103,48345,114099,78306,9,1246,104789,3.4482
vendor_19,Making & Grooming,4.92,21,139,21960,75164,34956,2,617,30521,3.7194
vendor_50,Making & Grooming,5,23,61,20699,70534,44553,9,113,70574,3.7031
vendor_15,Photography,4.76,103,44,63180,125700,124499,11,504,91555,3.7025
vendor_24,Food & beverage,4.81,61,94,52468,186976,143970,3,1023,69991,3.7465
vendor_31,Decorations,4.45,116,78,43075,100673,100347,6,906,56964,3.6568
vendor_39,Making & Grooming,4.97,101,5,24776,73208,57028,8,709,42918,3.3932
vendor_5,Making & Grooming,4.65,115,46,23388,76691,61790,3,780,39624,3.6527
vendor_47,Making & Grooming,4.66,51,105,23414,74233,58931,8,1435,40975,3.7255
vendor_32,Photography,5,113,19,71814,132127,76955,10,967,63273,3.6096
